company_name,domain,industry,country,employees
Glow Beauty London,glowbeauty.co.uk,Beauty,United Kingdom,45
fresh hair studio,freshhairstudio.co.uk,Hair Salon,United Kingdom,8
Zen Clinic Ltd,zenclinic.co.uk,Med Spa,United Kingdom,12
BRIGHT SMILE DENTAL,brightsmile.co.uk,Dental,United Kingdom,23
Pure Spa Limited,purespa.co.uk,Spa,United Kingdom,
Glow Beauty London,glowbeauty.co.uk,Beauty,United Kingdom,45
Alpine Wellness,alpinewellness.de,Wellness,Germany,30
The Barber Room,thebarberroom.co.uk,Barber,United Kingdom,5
Lux Aesthetics ltd,luxaesthetics.co.uk,Aesthetics,United Kingdom,17
Nordic Skin Co,nordicskin.se,Skincare,Sweden,9
